gzceers_id,candels_id,ra,dec,z_candels,bar_type,vollim_flag
88116397,12286,214.905462,52.84728,0.731179,No,True
88112127,29804,214.840515,52.894994,0.732,Weak,True
88112255,29328,214.83429,52.893795,0.732803,No,True
88116747,13343,214.838108,52.806998,0.735094,No,False
88107704,24543,215.020277,52.99407,0.7359,Weak,True
88116806,13625,214.848596,52.81494,0.7379,No,True
88113136,22284,214.861443,52.868702,0.739,Weak,True
88118672,10945,214.849731,52.803551,0.7393,Weak,False
88115492,28654,214.746516,52.838486,0.7428,No,False
88118307,19994,214.829471,52.836875,0.744,No,False
88106747,31401,215.02079,53.013413,0.744,No,False
88108188,22745,214.978398,52.956469,0.7443,No,False
88117994,18989,214.853443,52.846927,0.745145,Strong,False
88107512,25253,214.970754,52.961765,0.7461,Strong,True
88110301,24954,214.942392,52.942076,0.7498,No,False
88118081,19387,214.81736,52.82295,0.7515,Strong,True
88117654,17319,214.839484,52.829978,0.752,No,False
88118330,20313,214.818113,52.829073,0.7521,Weak,False
88107232,26050,215.028932,53.00966,0.754,No,True
88110183,24852,214.914954,52.919161,0.7545,No,True
88110182,24456,214.915117,52.918659,0.7546,No,True
88109239,20666,214.957671,52.930808,0.755164,No,False
88109886,23585,214.939277,52.930779,0.756,Weak,True
88114512,31348,214.783409,52.847061,0.7567,No,True
88117514,16699,214.821443,52.813508,0.75857,No,False
88111279,26579,214.924025,52.936347,0.761127,Weak,False
88117319,15746,214.819964,52.806376,0.764526,Weak,True
88118052,19076,214.802387,52.811787,0.7646,No,False
88117584,17119,214.809947,52.806992,0.765,Weak,False
88108582,21991,214.978784,52.951375,0.7669,No,False
88111266,26434,214.885508,52.908915,0.7677,Weak,False
88107661,24224,214.957665,52.949022,0.768,No,True
88110297,25288,214.923793,52.92811,0.7683,No,True
88111366,26844,214.913903,52.930264,0.7685,Weak,True
88110396,25389,214.919786,52.927751,0.772,No,False
88116797,13581,214.875926,52.834639,0.7806,No,True
88106689,31168,215.018069,53.013934,0.7808,No,False
88117292,15472,214.872735,52.842825,0.7809,Weak,True
88107234,26270,215.00193,52.990194,0.7816,Weak,True
88118505,21057,214.805205,52.824772,0.783,No,False
88107561,24696,214.97207,52.962455,0.784,No,False
88115457,28124,214.742086,52.83448,0.784,Weak,False
88112176,29526,214.841177,52.897159,0.7841,Strong,False
88111680,31315,214.845471,52.889457,0.7843,Weak,False
88112128,29525,214.83926,52.894632,0.7863,No,True
88116819,35760,214.899086,52.852154,0.79,No,False
88118181,19728,214.813787,52.8228,0.799,Weak,True
88106501,30136,215.010799,53.013322,0.8,No,False
88117541,16755,214.807393,52.804481,0.802,Weak,False
88117891,18386,214.811655,52.815003,0.81212,No,True
88116347,11660,214.889506,52.835719,0.816621,No,False
88117029,14398,214.822605,52.801493,0.8191,Weak,False
88113490,23685,214.799212,52.832564,0.822752,No,True
88113488,23496,214.803737,52.835762,0.825,Strong,False
88114295,27488,214.760674,52.824791,0.826,Weak,True
